Address,District,City,Size,Price,Description
Heinolankatu 6 A,Alppila,Helsinki,"48,5 m²",359 000 €,"
2h + kk + kph
"
Kaisaniemenkatu 3 A,Kluuvi,Helsinki,86 m²,880 000 €,"
2h+k+2xkph+sauna
"
Mäkelänkatu 30,Vallila,Helsinki,"48,5 m²",319 000 €,"
2h, keittiö ja khh/vh
"
Muinaisrannantie 3 D,Kivikko,Helsinki,53 m²,215 000 €,"
2h+kt+s
"
Oranssikuja 5 B,Kuninkaantammi,Helsinki,61 m²,259 000 €,"
2h, avok, kph, s, lasitettu parveke
"
Karistimentie 2,Myllypuro,Helsinki,"50,5 m²",178 000 €,"
2h + k + kph + lasitettu parveke
"
Hietalahdenkatu 8 A,Kamppi,Helsinki,"39,5 m²",431 000 €,"
2 h + avokeittiö + kph/wc + parveke (isännöitsijäntodistuksen mukaan 1 H + TUPAK)
"
Mannerheimintie 55 A,Töölö,Helsinki,64 m²,416 000 €,"
2h+k+kph
"
Vaakatie 5 A,Lassila,Helsinki,56 m²,235 000 €,"
2h, k, kph, s, lasitettu parveke
"
Temperankatu 4 B,Kuninkaantammi,Helsinki,65 m²,325 000 €,"
2h, k, kph, s, las.parveke 
"
Mätästie 3 L,Suurmetsä,Helsinki,61 m²,146 000 €,"
2h,k,kph,lasitettu parveke
"
Bulevardi 15 C,Punavuori,Helsinki,41 m²,409 500 €,"
2h+kk+kph
"
Rakentajantie 1,Pitäjänmäki,Helsinki,"40,5 m²",189 000 €,"
KT 2h, kk 40,5m²
"
Vespertie 6 C,Etelä-Haaga,Helsinki,35 m²,262 500 €,"
2h+kk+kph+p
"
Alakiventie 7,Myllypuro,Helsinki,61 m²,159 000 €,"
2h, k, parveke
"
Klaneettitie 12 A,Kannelmäki,Helsinki,"57,5 m²",207 000 €,"
2h+k
"
Paraistentie 4 A,Ruskeasuo,Helsinki,"56,5 m²",354 000 €,"
2h+k+kh
"
Eerikinkatu 50 A,Kamppi,Helsinki,54 m²,435 000 €,"
2h+keittiösyvennys+alkovi+kph
"
Saniaistie 22 B,Tapanila,Helsinki,"53,5 m²",178 000 €,"
2h+k
"
Tilanhoitajankaari 12 D,Viikki,Helsinki,50 m²,279 000 €,"
2h, avokeittiö, kph, s ja las. parveke
"
Leikosaarentie 27 C,Aurinkolahti,Helsinki,"43,5 m²",250 000 €,"
2 h+avok+kph+lasitttu parveke (2h+kk)
"
Kanneltie 10 A,Kannelmäki,Helsinki,40 m²,179 000 €,"
2h + kk + p
"
Harmaahaikarankuja 1 C,Kurkimäki,Helsinki,57 m²,172 000 €,"
2h, k, kph/suihkusauna, vh, piha (yj 2H+K)
"
Tilanhoitajankaari 7,Viikki,Helsinki,47 m²,16 443 €,"
2H+KK+S
"
Föglönkuja 7 B 20,Kruunuvuorenranta,Helsinki,56 m²,308 000 €,"
2h+k+kph+s+vh+las.parv
"
Pohjolankatu 43 B,Käpylä,Helsinki,54 m²,352 000 €,"
2H+K
"
Särkiniementie 3b A35,Lauttasaari,Helsinki,"91,5 m²",879 000 €,"
3 - 4h + kt
"
Töölönkatu 29 B,Töölö,Helsinki,39 m²,328 000 €,"
2h, k, vh, kph
"
Luutnantintie 13,Malminkartano,Helsinki,"43,5 m²",230 000 €,"
1-2h loft, avokeittiö, kph-wc
"
Kunnalliskodintie 9 C 87,Koskela,Helsinki,"45,5 m²",276 188 €,"
2h + avok + p
"
Kunnalliskodintie 9 C 75,Koskela,Helsinki,"45,5 m²",253 788 €,"
2h + avok + p
"
Punahilkantie 12 E 42,Roihuvuori,Helsinki,52 m²,259 000 €,"
2h+k+kph+p
"
Kunnalliskodintie 9 B 59,Koskela,Helsinki,"45,5 m²",283 688 €,"
2h + avok + p
"
Kunnalliskodintie 9 B 55,Koskela,Helsinki,"45,5 m²",271 188 €,"
2h + avok + p
"
Kunnalliskodintie 9 B 51,Koskela,Helsinki,"45,5 m²",258 688 €,"
2h + avok + p
"
Kunnalliskodintie 9 B 47,Koskela,Helsinki,"45,5 m²",248 788 €,"
2h + avok + p
"
Kunnalliskodintie 9 A 35,Koskela,Helsinki,46 m²,291 788 €,"
2h + avok + p
"
Sammatintie 11 as. 25,Vallila,Helsinki,"46,5 m²",354 500 €,"
2h + kt
"
Kunnalliskodintie 9 A 29,Koskela,Helsinki,46 m²,279 188 €,"
2h + avok + p
"
Kunnalliskodintie 9 A 23,Koskela,Helsinki,46 m²,266 588 €,"
2h + avok + p
"
Kunnalliskodintie 9 A 17,Koskela,Helsinki,46 m²,256 488 €,"
2h + avok + p
"
Naapuripellontie 5 32,Malminkartano,Helsinki,60 m²,179 200 €,"
2h+k+vaatehuone+lasitettu parveke
"
Säterintie 13,Pukinmäki,Helsinki,68 m²,228 000 €,"
2h + k + s + p
"
